"ID (14)","Location","SB196","1_3","SB207","2_3","SB85","3_3","SB100","3_4","GCPM_2425","5_3","GCPM_961","6_2","SB194","7_2","SB243","8_complicated","SB233","9_complicated","SB88","10_complicated","SB201","11_complicated","WPMS_15","12_3","SB210","13_complicated","SB 38","14_2"
"Se591","PaloVerde",186,192,92,92,95,98,115,115,200,200,160,160,115,115,111,114,190,190,102,102,201,240,163,163,133,133,117,117
"Se592","PaloVerde",186,192,92,94,98,98,115,115,197,200,160,160,115,115,114,114,190,190,102,102,209,209,163,163,133,139,117,117
"Se593","PaloVerde",192,192,92,94,98,98,115,115,197,200,160,160,115,115,114,114,190,190,102,102,209,209,163,163,133,139,117,117
"Se594","PaloVerde",192,192,92,94,98,98,115,115,197,200,160,160,115,115,114,114,190,190,102,102,209,209,163,163,133,139,117,117
"Se595","PaloVerde",192,192,92,94,98,98,115,115,197,200,160,160,115,115,114,114,190,190,102,102,209,209,163,163,133,139,117,117
"Se596","PaloVerde",192,192,92,94,98,98,115,115,197,200,160,160,115,115,114,114,190,190,102,102,209,209,163,163,133,139,117,117
"Se597","PaloVerde",192,192,92,94,98,98,115,115,197,200,160,160,115,115,114,114,190,190,102,102,209,209,163,163,133,139,117,117
"Se598","PaloVerde",192,192,92,94,98,98,115,115,197,200,160,160,115,115,114,114,190,190,102,102,209,209,163,163,133,139,117,117
"Se599","PaloVerde",192,192,92,94,98,98,115,115,197,200,160,160,115,115,114,114,190,190,102,102,209,209,163,163,133,139,117,117
"Se600","PaloVerde",192,192,92,94,98,98,115,115,197,200,160,160,113,113,114,114,190,190,102,102,209,209,163,163,133,139,117,117
"Se601","PaloVerde",192,192,92,92,98,98,115,115,200,200,151,151,113,113,114,114,190,190,102,102,209,209,163,163,133,133,117,117
"Se602","PaloVerde",192,192,92,92,98,98,115,115,200,200,151,151,113,113,114,114,190,190,102,102,209,209,163,163,133,133,117,117
"Se603","PaloVerde",192,192,92,92,98,98,115,115,200,200,151,151,115,115,114,133,163,190,102,102,209,209,163,163,133,133,117,117
"Se604","PaloVerde",192,192,92,92,98,98,115,115,200,200,151,156,115,115,114,114,190,190,102,102,209,209,163,163,133,133,117,117
