"tree.id","geno","pheno","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","S11","S12","S13","S14","S15","S16","S17","S18","S19","S20","S21","S22","S23","S24","S25"
"tree_11",3,13.75,70.1184213501317,23.9429033993883,110.659999791027,70.5512968140789,102.316642543273,110.477919060609,78.308589271345,65.9294070529189,6.2342701657341,7.6812905985228,112.329396541644,33.1957098180778,125.337800012149,97.1735078760853,90.6226468343945,116.769166458481,122.062663049803,81.9937272703808,73.7066682780918,75.6744096193283,54.5643182291198,52.9018885984596,87.2883819931129,70.8392770904366,100.847615331761
"tree_12",3,13.75,43.8330198805969,69.7962641384437,5.95854515320174,103.236120244828,84.5890035117975,113.30967188515,12.2229806449123,117.678012010857,98.7024950878548,107.259842674275,1e-05,61.6172019838133,75.9809622205564,121.883165192227,82.1099128353867,22.9573966703272,87.9103771362962,88.0326648857324,66.8587229084298,109.79752348065,75.034290628217,104.192758240428,3.42565594951713,96.0182453246119,104.488186310083
"tree_13",3,13.75,0.758789025260068,97.5250506099618,24.6635670085401,111.683890460442,107.734306800521,100.349176083063,22.6906981362614,106.035186446916,89.4721912683798,104.051822797554,1e-05,79.5869234421511,110.102571157854,56.9569830352786,53.6930801231567,12.8858020640657,78.9351600188567,83.1448644938733,61.2774915901014,78.316078742723,119.045232661179,89.8934786931055,1e-05,68.0112801157872,60.4521482889436
"tree_14",3,13.75,55.5340460649387,69.6026680888362,28.5667224451923,105.170590638761,98.9970602179835,99.0484201541826,27.7680542842084,101.381311230297,46.8528902987083,81.8966175889315,2.21860013642818,102.853746411785,108.362778257208,94.4204408217672,71.1810849178445,35.5245810564424,64.8878987338356,71.3382864335398,87.9894901316829,75.1300929418174,108.377820597393,99.5507035194615,28.8999325445799,92.3265268332755,62.8876620000474
"tree_15",3,13.75,89.1742088887785,65.9046380680155,83.2326403302866,98.310128034732,70.5981589111558,105.688414071383,79.5473094156326,57.1831930484278,34.7344373127622,60.0474745922955,36.3999066359791,42.0693473557034,105.449693260498,110.938826035777,72.8826749562946,92.0819012276585,110.750200237649,68.4124922091912,84.0621722180624,90.0434587631981,72.8306072956095,93.6295089780095,79.0468276274996,84.0752084870189,82.8994584909536
"tree_16",4,16,21.6540126197118,129.147632606628,1e-05,74.200118538047,81.5870193957539,96.2749581945416,25.624337054805,128.325463796904,110.93298951945,92.9924667601334,1e-05,64.8029569329907,84.2642850583229,65.0021718011456,100.291063903021,29.3717857522274,63.7688020920739,114.759570066506,46.7436909916537,72.4357502764677,96.4679366760549,100.454251245359,1e-05,73.7797447898838,70.222503803339
"tree_17",4,16,69.6308898747723,80.913603117372,58.7273147001147,91.1080908848016,83.901051441727,77.1494984271557,89.9650520345673,105.652689248331,32.1296551245341,78.3717012917525,30.5808281692117,73.1805077702918,108.539786560904,96.1855091107879,85.9181811560252,79.0078767688174,109.545296566887,75.5040844600092,80.9158071200012,97.0992004952804,85.2827763336507,59.8833782657233,37.2587935881096,120.568069386638,109.024049182826
"tree_18",4,16,0.00285393288422853,117.761422466906,1e-05,90.0716734693144,64.9736943995268,109.166133061991,1e-05,75.9614493766219,92.0555482511105,68.7276071883171,1e-05,125.946405869718,103.035835840767,83.9666361261812,60.172982411817,6.53813561763126,61.3317551291765,114.363849788529,22.6298664779346,65.091650719135,67.5468374286511,73.2525680120986,1e-05,44.6512101858912,68.8648522442477
"tree_19",4,16,1e-05,95.5187758378993,5.94844576081722,67.9681895595436,87.2920792473392,59.8865584454631,0.0303146080763597,105.13981630377,114.733241271997,86.4771849031899,1e-05,80.168302377486,76.1570379775909,81.8201834251221,85.7337203837639,1e-05,37.1190175701705,122.180039617008,17.4184247889585,98.4163990656311,81.7900777733582,97.5222589674295,1e-05,47.9180527078248,45.605779049858
"tree_20",4,16,1e-05,125.436527136004,1e-05,73.641794744979,114.578176098098,70.149107983289,1e-05,126.752695211637,65.2331031908946,73.66392695306,1e-05,104.903747337016,66.4635026441478,97.0886830988183,83.566073909952,29.7979898152889,53.5451692219441,74.4541804369669,49.6189458609043,61.6179115687952,118.117858718577,107.829619798326,1e-05,61.5872922001078,58.8437063342549
"tree_21",5,14,113.036256386931,49.0148783388874,90.7113955129263,82.3880792195715,65.8737011450283,89.1059975867211,95.1953450159955,59.203988229601,33.5664955809903,28.9439832298301,94.4071162989522,21.7638382808814,96.4003300346095,117.145125960273,76.6161364866847,111.026401231259,70.5372276188456,74.7609512414962,94.9828414712412,119.298008480149,70.3201183970339,46.6163205179731,53.5359361813404,117.947740601506,116.326578950225
"tree_22",5,14,81.611263797736,87.5357228898964,39.4724968549181,96.8498791311825,71.1107254219408,104.940992785486,83.4083748322616,64.6796159493146,70.8447918525766,49.5091847147343,39.0182994862499,34.7926702387774,113.301833969608,114.893737971442,82.5456531618282,83.8566528433396,98.0183187328322,79.7140795071966,118.809952015445,112.556070290838,115.866328930445,100.216351084259,72.9070395124385,116.089739060326,107.558341005712
"tree_23",5,14,1.71214571554583,114.938972000307,16.3259133436593,105.196706104244,85.5157127042639,104.963486487554,20.9369002559122,120.436698880936,100.406251842144,85.304197407141,15.385128869366,89.5934615281412,72.5374177028155,84.1432399804179,91.459455500451,28.8230022642606,53.3526949777575,128.479236997409,42.900026451157,88.0320002272138,72.3117250545936,128.811898156192,1e-05,97.3135531174088,72.3140261766506
"tree_24",5,14,109.283423408343,58.6855404878717,100.000943388338,81.0578163533176,93.4456487319416,75.1606569187939,83.6157002748563,43.0782826699324,17.6065643281848,4.76400162505908,36.6960169659668,22.0226875105223,118.700656654993,89.1574027451569,116.661594848382,86.9384415586273,86.5128101128242,103.499466528755,122.851646332857,99.2706162542021,121.587391949582,50.1808219706528,90.342220827967,105.475856828566,111.466287168951
"tree_25",5,14,71.7833261869525,80.1958429905874,64.0534485670199,83.5588745345469,119.325111813597,89.0062727070664,69.8827806300531,74.2652169094536,18.5573042418221,29.3979038069319,79.6780929301658,32.5505775417854,70.6775943108899,97.0239729726327,75.995319777537,110.490793562316,125.914410404871,87.0725780674387,89.7666089165263,105.688623896987,79.436491876685,55.2386118490862,86.4384518301169,93.2433836107241,88.6886042658167
"tree_26",6,15.25,75.693045475638,112.721458743481,94.682387015354,120.761904077785,108.539736893007,116.425664976405,90.9804313802781,108.155311736273,54.5985979831578,73.3770151899967,76.5016195011081,84.6079742437885,125.986983756836,98.2175404494365,104.370898235384,87.8635757116241,120.106988553169,67.7792481769582,100.287137011731,126.28050379164,122.772485117521,66.4668958446985,36.8301473060652,92.6401382282328,121.031050161329
"tree_27",6,15.25,1e-05,128.270461679134,5.79610653639118,58.1237352125262,71.1089501365332,74.3450242429177,1e-05,103.8317516675,108.909314099463,100.027552240143,1e-05,113.081409548351,106.764067560121,57.7111749928114,52.6559785179085,27.732647668826,28.6714115862041,122.735662123119,16.8203205323655,92.7270473189772,85.8026020769248,84.3517975476758,1e-05,37.1957941615055,81.9326496414722
"tree_28",6,15.25,18.1249538583495,98.4139914201029,1e-05,109.279427123687,108.780490257006,109.413492202766,29.3808580801683,81.4785629531466,85.7704060171533,102.13460409355,1e-05,72.5422983191576,109.840121880663,83.6239472731529,41.8777386425559,23.9944598924591,86.7885945449862,119.867773365704,47.5121875886508,107.556048424245,115.036752747624,116.869111840404,1e-05,65.0169190230801,57.9565256903412
